name,types,count_review,grade,price,platforms,developer,tags,date_release
Craft The World - Sisters in Arms,"Indie Games,Craft The World,Downloadable Content",(138 reviews),Very Positive,"62,50 pуб.",хз,Dekovir Entertainment,"Indie,Strategy,Simulation,RPG","4 Jul, 2016"
Craft The World - Bosses & Monsters,"Indie Games,Craft The World,Downloadable Content",(119 reviews),,160 pуб.,хз,Dekovir Entertainment,"Strategy,RPG,Indie,Simulation","25 Jun, 2019"
"Portal Knights - Elves, Rogues, and Rifts","Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",(97 reviews),,155 pуб.,хз,Keen Games,"RPG,Action,Adventure,Sandbox,Local Co-Op,Exploration,Crafting,Casual,Building,Fantasy","27 Jun, 2019"
Music for The Long Dark -- Volume One,"Adventure Games,The Long Dark,Downloadable Content",(110 reviews),Very Positive,,хз,Hinterland Studio Inc.,"Adventure,Indie,Simulation,Strategy,Soundtrack,Music,Survival,Great Soundtrack","28 Aug, 2017"
"Portal Knights - Druids, Furfolk, and Relic Defense","Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",(53 reviews),Very Positive,155 pуб.,хз,Keen Games,"Action,Adventure,RPG,Building,Fantasy,Crafting,Exploration,Local Co-Op,Multiplayer,Casual","20 Feb, 2020"
Digger Online,Adventure Games,(911 reviews),Very Positive,,хз,Дмитриев Максим Константинович,"Story Rich,Action,Atmospheric,Realistic,Shooter,Survival,First-Person,Open World,Multiplayer,Family Friendly,Sandbox,Comedy,Building,Co-op,Zombies,Adventure,Simulation,RPG,Indie,Crafting","2 Jun, 2015"
PixARK,"Adventure Games,Snail Games USA Franchise","(8,322 reviews)",Mostly Positive,181 pуб.,хз,Snail Games USA,"Survival,Adventure,Open World,Massively Multiplayer,Multiplayer,Sandbox,Dinosaurs,Action,RPG,Pixel Graphics,Casual,Strategy,Crafting,Building,Voxel,Early Access,Base Building,Magic,FPS,Singleplayer","31 May, 2019"
Chicory: A Colorful Tale,Adventure Games,"(1,712 reviews)",Very Positive,304 pуб.,хз,Greg Lobanov,"Indie,Adventure,RPG,Great Soundtrack,Cute,Emotional,Colorful,Story Rich,Funny,Puzzle,Local Co-Op,Singleplayer,Relaxing,2D,Metroidvania,LGBTQ+,Co-op,Casual,Psychological Horror","10 Jun, 2021"
Portal Knights,"Adventure Games,505 Games Official Franchise","(15,209 reviews)",Very Positive,146 pуб.,хз,Keen Games,"Adventure,Sandbox,Multiplayer,RPG,Building,Crafting,Survival,Co-op,Action,Exploration,Singleplayer,Fantasy,Voxel,Casual,Cute,Early Access,Dungeon Crawler,Third Person,Great Soundtrack,Local Co-Op","18 May, 2017"
Dig or Die,Action Games,"(3,544 reviews)",Mostly Positive,144 pуб.,хз,Gaddy Games,"Survival,Open World Survival Craft,Sandbox,Crafting,2D,Open World,Indie,Strategy,Action,Multiplayer,Tower Defense,Building,Base Building,Physics,Co-op,Pixel Graphics,Singleplayer,RPG,Early Access,Adventure","10 Jul, 2018"
Scrap Mechanic,Adventure Games,"(83,472 reviews)",Very Positive,280 pуб.,хз,Axolot Games,"Building,Sandbox,Survival,Open World,Multiplayer,Crafting,Physics,Base Building,Co-op,Singleplayer,First-Person,Third Person,Adventure,Funny,Early Access,Simulation,Action,Indie,Moddable,Online Co-Op","19 Jan, 2016"
shapez,"Simulation Games,tobspr Games Franchise","(8,009 reviews)",Overwhelmingly Positive,119 pуб.,хз,Tobias Springer,"Automation,Base Building,Sandbox,Resource Management,Crafting,Strategy,Singleplayer,Management,Open World,Building,2D,Casual,Moddable,Simulation,Puzzle,Abstract,Idler,Logic,Family Friendly,Indie","7 Jun, 2020"
Craft The World,Strategy Games,"(11,707 reviews)",Overwhelmingly Positive,"119,70 pуб.",хз,Dekovir Entertainment,"Sandbox,Crafting,Colony Sim,Building,Survival,Strategy,Indie,Simulation,Multiplayer,2D,RPG,City Builder,Open World,Singleplayer,Resource Management,Fantasy,Adventure,God Game,Tower Defense,Side Scroller","24 Nov, 2014"
Super Meat Boy,Indie Games,"(22,313 reviews)",Very Positive,29 pуб.,хз,Team Meat,"Precision Platformer,Platformer,Difficult,Indie,2D Platformer,Pixel Graphics,2D,Singleplayer,Great Soundtrack,Fast-Paced,Retro,Controller,Unforgiving,Gore,Action,Time Attack,Funny,Comedy,Side Scroller,Replay Value","30 Nov, 2010"
7 Days to Die,Action Games,"(165,168 reviews)",Very Positive,134 pуб.,хз,The Fun Pimps,"Survival,Zombies,Voxel,Open World,Open World Survival Craft,Multiplayer,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Simulation,Sandbox,Strategy,FPS,Character Customization,Procedural Generation,Tower Defense,Action,Early Access","13 Dec, 2013"
The Long Dark,Indie Games,"(81,637 reviews)",Overwhelmingly Positive,210 pуб.,хз,Hinterland Studio Inc.,"Survival,Open World Survival Craft,Open World,Exploration,Atmospheric,First-Person,Singleplayer,Adventure,Crafting,Sandbox,Simulation,Post-apocalyptic,Indie,Walking Simulator,Survival Horror,Strategy,Difficult,Action,Early Access,Horror","1 Aug, 2017"
VR Parallel World,Casual Games,(26 reviews),,129 pуб.,хз,William at Oxford,"Casual,Exploration,VR,First-Person,Open World,Sexual Content,Singleplayer,Nudity","14 Mar, 2021"
